X,Y,OBJECTID,NoticeNum,DateNotice,DateCancel,DateAbate,NT,OWNER_ABBR,HousingMarketTypology2023,Council_District,Neighborhood,BLOCKLOT,Address
1411570.99872389,588061.848077983,7,2215068A,2023/06/14 08:12:00+00,,,Vacant,,J,9,Carrollton Ridge,0702 050,2113 WILKENS AVE
1411595.96652173,588072.437623724,9,602095A,2010/07/17 10:50:00+00,,,Vacant,,J,9,Carrollton Ridge,0702 052,2109 WILKENS AVE
1411646.07731389,588094.649521559,13,333350A,2008/06/26 16:27:00+00,,,Vacant,,J,9,Carrollton Ridge,0702 056,2101 WILKENS AVE
1412037.22712214,588256.568817139,14,2188893A,2022/12/05 13:52:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 001,2001 WILKENS AVE
1412022.7120593,588250.141664639,15,2344541A,2024/02/01 10:08:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 002,2003 WILKENS AVE
1411983.51758389,588234.122667804,19,2057399A,2021/11/05 12:41:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 005,2009 WILKENS AVE
1411919.93995513,588205.183421224,24,286076A,2008/01/25 14:45:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 010,2019 WILKENS AVE
1411880.91247414,588190.126036644,27,2471895A,2025/01/16 12:33:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 013,2025 WILKENS AVE
1411855.29868022,588177.895089984,29,2204658A,2023/02/07 13:52:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 015,2029 WILKENS AVE
1411841.99227639,588173.634599805,30,1909805A,2020/06/30 08:45:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 016,2031 WILKENS AVE
1411764.81657772,588140.524429813,36,1869872A,2020/01/02 17:23:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 022,2043 WILKENS AVE
1411880.50597888,588077.648899391,48,1585676A,2017/09/08 16:30:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 035,2024 EAGLE ST
1411892.03482722,588081.807027563,49,2451736A,2024/10/31 07:09:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 036,2022 EAGLE ST
1411969.23546022,588115.19508414,56,1471931A,2016/12/23 09:44:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 043,2008 EAGLE ST
1412277.59967288,588359.72215414,68,1512989A,2017/03/29 21:11:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 007,1913 WILKENS AVE
1412265.07476355,588354.313700393,69,1456124A,2016/10/12 15:41:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 008,1915 WILKENS AVE
1412252.70110063,588348.98004964,70,1114343A,2014/07/13 12:33:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 009,1917 WILKENS AVE
1412239.6289483,588343.338984817,71,1970910A,2021/02/13 22:43:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 010,1919 WILKENS AVE
1412227.25003606,588337.970885307,72,2478269A,2025/02/26 15:48:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 011,1921 WILKENS AVE
1412200.17692748,588326.269137055,74,2453380A,2024/10/31 09:43:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 013,1925 WILKENS AVE
1412188.21107213,588321.110026643,75,2470904A,2025/01/17 10:30:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 014,1927 WILKENS AVE
1412175.97914122,588315.836087063,76,1303833A,2015/10/13 10:20:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 015,1929 WILKENS AVE
1412163.10416697,588310.260310814,77,1514340A,2017/03/27 16:07:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 016,1931 WILKENS AVE
1412151.02348247,588305.049691305,78,2343156A,2024/01/31 11:30:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 017,1933 WILKENS AVE
1412263.06558122,588218.888446316,82,675339A,2011/02/18 13:57:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 021,510 S MONROE ST
1413117.93296596,588625.623525232,103,1072375A,2014/07/03 16:40:00+00,,,Vacant,,J,9,Mount Clare,0706 026,1702 COLE ST
1413159.44633439,588752.9959739,117,1651371A,2018/03/23 23:27:00+00,,,Vacant,,J,9,Mount Clare,0706 020,1711 WILKENS AVE
1413076.0682203,588615.713768139,123,2469583A,2025/01/09 16:11:00+00,,,Vacant,,J,9,Mount Clare,0706 029,1708 COLE ST
1413061.93143755,588612.382738054,124,2459227A,2024/11/26 13:29:00+00,,,Vacant,,J,9,Mount Clare,0706 030,1710 COLE ST
1413181.17496547,588640.913848981,126,438749A,2009/05/27 10:59:00+00,,,Vacant,,J,9,Mount Clare,0706 025,420 S MOUNT ST
1415364.82479763,590124.415475145,389,2348651A,2024/02/16 14:52:00+00,,,Vacant,,G,9,Hollins Market,0250 048,1121 W LOMBARD ST
1415378.19091263,590125.491916567,390,1296845A,2015/09/18 15:52:00+00,,,Vacant,,G,9,Hollins Market,0250 049,1119 W LOMBARD ST
1415543.25685547,590098.676025316,407,1470721A,2016/12/14 16:19:00+00,,,Vacant,,G,9,Hollins Market,0250 063,110 S ARLINGTON AVE
1415483.40854996,590086.172441393,411,298819A,2008/03/14 15:33:00+00,,,Vacant,,G,9,Hollins Market,0250 096, 
1415526.02165373,590061.694143891,412,2446086A,2024/10/09 11:35:00+00,,,Vacant,,G,9,Hollins Market,0250 065,114 S ARLINGTON AVE
1415360.45964889,589940.455213144,444,2339800A,2024/01/24 13:34:00+00,,,Vacant,,G,9,Hollins Market,0250 093,124 S CARLTON ST
1415868.10036589,590159.964288563,451,1878683A,2020/02/14 17:58:00+00,,,Vacant,,G,9,Hollins Market,0251 005,1011 W LOMBARD ST
1415855.84973422,590159.222164065,452,1334737A,2015/12/18 12:19:00+00,,,Vacant,,G,9,Hollins Market,0251 006,1013 W LOMBARD ST
1411589.99343656,589411.016639471,453,1465128A,2016/11/16 11:38:00+00,,,Vacant,,J,9,Carrollton Ridge,0258 059,208 HARMISON ST
1411590.63155864,589398.09803015,454,1092772A,2014/05/30 16:07:00+00,,,Vacant,,J,9,Carrollton Ridge,0258 060,210 HARMISON ST
1413563.13745613,589272.385026976,672,1962589A,2021/01/11 05:24:00+00,,,Vacant,,J,9,Mount Clare,0277 005,308 S GILMOR ST
1413564.68469714,589260.21936889,673,2376267A,2024/05/03 17:15:00+00,,,Vacant,,J,9,Mount Clare,0277 006,310 S GILMOR ST
1413559.34612514,589159.782889977,680,2411133A,2024/07/21 11:07:00+00,,,Vacant,,J,9,Mount Clare,0277 014,326 S GILMOR ST
1410926.50493413,588756.508105978,681,283027A,2008/01/10 08:42:00+00,,,Vacant,,J,9,Carrollton Ridge,0288 048,403 FURROW ST
1410831.84567463,588675.067652062,684,2202042A,2023/02/12 16:50:00+00,,,Vacant,,J,9,Carrollton Ridge,0288 051,414 FURROW ST
1413969.54445171,589134.968307063,685,214804A,2007/06/26 08:39:00+00,,,Vacant,,J,9,Mount Clare,0279 053,330 S STRICKER ST
1410764.5255993,588431.207247391,686,1877121A,2020/02/06 17:16:00+00,,,Vacant,,J,9,Carrollton Ridge,0288 079,437 S BENTALOU ST
1410760.64995089,588515.230045229,692,2401186A,2024/06/24 00:17:00+00,,,Vacant,,J,9,Carrollton Ridge,0288 085,425 S BENTALOU ST
1410759.3504128,588543.355317056,694,1998026A,2021/06/06 22:35:00+00,,,Vacant,,J,9,Carrollton Ridge,0288 087,421 S BENTALOU ST
1413963.13042255,589260.919498727,711,2447409A,2024/10/16 10:40:00+00,,,Vacant,,J,9,Mount Clare,0279 062,312 S STRICKER ST
1413961.42668581,589288.954219565,713,2277900A,2023/08/03 08:22:00+00,,,Vacant,,J,9,Mount Clare,0279 064,308 S STRICKER ST
1413960.10155722,589316.280280396,715,201871A,2007/05/29 12:33:00+00,,,Vacant,,J,9,Mount Clare,0279 066,304 S STRICKER ST
1413959.47065297,589330.749411553,716,2382132A,2024/05/23 14:10:00+00,,,Vacant,,J,9,Mount Clare,0279 067,302 S STRICKER ST
